城鎮ID,城鎮名稱,城鎮高度,城鎮寬度,城鎮描述,城鎮圖標ID,城鎮顯示等級,城鎮類型,遷入條件,出生點坐標X上限,出生點坐標Y上限,出生點坐標X下限,出生點坐標Y下限,關聯港口組,對應副本選擇表ID,擊敗某部隊ID可顯示,接受某任務ID可遷入,人物等級到達多少可遷入,是否需要選擇陣營,全陣營遷入默認港口,陣營1遷入默認港口,陣營2遷入默認港口,陣營3遷入默認港口,城鎮對應NPC服務組,大地圖ID,對應城鎮音樂路徑,對應效果及任務ID,對應城鎮遷徙動畫ID,可見數量,通知數量
townId,townName,maxY,maxX,townDesc,iconId,level,townType,conditionDesc,endX,endY,startX,startY,portGroup,copySelectedId,showForceId,moveTaskId,moveLevel,isSelectCamp,defaultMovePort,movePort1,movePort2,movePort3,serviceGroup,mapid,musicid,effectid,moveEffectId,,
1,燃燒戰船,22,60,,,Lv.1~10,1,需要人物等級Lv.1|通關柯托島副本,16,21,7,18,,1,16,,1,0,,,,,"13,001",1,2,,,9999,50
2,風車村,22,70,,,Lv.10~25,1,需要人物等級Lv.1|接取“黃昏之海”主線任務,20,19,6,15,7,1,32,32,1,0,7,,,,"23,001",1,6,2|32,1,9999,50
3,西羅布村,22,70,,,Lv.25~40,1,需要人物等級Lv.1|接取“前往西羅布村”主線任務,20,19,6,16,"8,9,10,11",2,221,13007,1,1,,8,9,10,"3,100,430,013,002",1,10,3|13007,2,9999,50
4,羅格鎮,22,70,,,Lv.40~50,1,需要人物等級Lv.1|接取“前往羅格鎮”主線任務,20,20,6,16,"12,13,14,15,16",3,620,16011,1,1,,12,13,14,"410,043,001,300,270,000,000",1,14,4|16011,3,9999,50
15,世界Boss,22,83,,,,,,14,20,7,14,,,,,,,,,,,,,5,,,50,50
20,公會俱樂部,22,42,,,,,,20,20,6,16,,,,,,,,,,,,,31,,,9999,50
5,磁鼓島,22,70,,,Lv.50~60,1,需要人物等級Lv.1|接取“向偉大航道前進”主線任務,14,20,2,15,"17,18,19,20,21",4,916,19006,1,1,,17,18,19,"51,004,300,130,027,000",2,18,5|19006,4,9999,50
6,雨地,22,83,,,Lv.60~70,1,需要人物等級Lv.1|接取“前往雨地”主線任務,14,20,2,17,"22,23,24,25,26",5,1320,23006,1,1,,22,23,24,"61,004,300,130,027,000",2,22,6|23006,5,9999,50
7,空島,22,83,,,Lv.70~80,1,需要人物等級Lv.1|接取“衝向空島”主線任務,14,20,2,17,"27,28,29,30,31",6,1816,28005,1,1,,27,28,29,"710,043,001,300,220,000,000",2,26,7|28005,6,9999,50
16,世界Boss2,22,66,,,,,,14,20,7,14,,,,,,,,,,,,,3,,,50,50
8,水之都,22,83,,,Lv.80~90,1,需要人物等級Lv.1|接取“回到青海”主線任務,14,20,2,17,"32,33,34,35,36","7,8,9",2324,34001,1,1,,32,33,34,"8,100,430,013,002,200,000,000,000",2,30,8|34001,7,9999,50
9,恐怖三帆船,22,83,,,Lv.90~100,1,需要人物等級Lv.1|接取“魔鬼三角洲”主線任務,14,19,2,16,"37,38,39,40,41",10,3825,49001,1,1,,37,38,39,"9,100,430,013,002,200,000,000,000",2,40,9|49001,8,9999,50
10,九蛇島,22,83,,,Lv.100~115,1,需要人物等級Lv.1|接取“初入九蛇島”主線任務,14,19,2,16,"42,43,44,45,46",12,5629,67001,1,1,,42,43,44,"10,100,430,013,002,200,000,000,000",2,26,10|67002,9,9999,50
21,空島深淵副本,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,9999,9999
22,水之都上深淵副本,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,30,,,9999,9999
23,水之都下深淵副本,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,30,,,9999,9999
24,司法島上深淵副本,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,39,,,9999,9999
25,司法島下深淵副本,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,39,,,9999,9999
26,恐怖三帆船上深淵副本,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,40,,,9999,9999
27,恐怖三帆船下深淵副本,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,40,,,9999,9999
28,磁鼓島,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,18,,,9999,9999
29,雨地,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,22,,,,
30,香波地群島上,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,,
31,香波地群島下,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,,
32,九蛇島上,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,,
33,九蛇島下,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,,
11,莫比迪克號,22,83,,,Lv.115~150,1,需要人物等級Lv.1|接取“風平浪靜”主線任務,14,19,2,16,"47,48,49,50,51",18,8125,92001,1,1,,47,48,49,"11,100,430,013,002,200,000,000,000",2,2,11|92001,10,9999,50
34,推進城上,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,,
35,推進城中,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,,
19,莫比迪克狂歡鎮,22,83,,,,,,52,19,40,16,,,,,1,0,,,,,"13,001",,31,,,,
18,海賊角鬥場,22,60,,,,,,36,20,25,13,,,,,,,,,,,,,31,,,,
12,魚人島,22,83,,,Lv.150~180,1,需要人物等級Lv.1|接取“到達魚人島”主線任務,14,19,2,16,"52,53,54,55,56",22,10425,114001,1,1,,52,53,54,"12,100,430,013,002,200,000,000,000",2,6,12|114001,11,9999,50
36,推進城下,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,,
37,頂上戰場上,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,,
38,頂上戰場中,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,,
39,頂上戰場下,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,,
40,試煉島上,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,,
41,試煉島下,22,63,,,,,,12,20,2,15,,,,,,,,,,,,,26,,,,
13,龐克哈薩德島,22,83,,,Lv.180~210,1,需要人物等級Lv.1|接取“不可思議的島”主線任務,14,19,2,16,"57,58,59,60,61",27,12727,136001,1,1,,57,58,59,"13,100,430,013,002,200,000,000,000",3,20,13|136001,12,9999,50
14,德雷斯羅薩島,22,84,,,Lv.210~240,1,需要人物等級Lv.1|接取“愛與熱情之國”主線任務,14,19,2,16,"62,63,64,65,66",31,14326,153001,1,1,,62,63,64,"14,100,430,013,002,200,000,000,000",3,20,14|153001,13,9999,50
